iter	Passed	Remaining
0	1	3548
1	3	2999
2	4	2902
3	5	2805
4	6	2755
5	8	2719
6	9	2675
7	10	2648
8	11	2633
9	13	2631
10	14	2675
11	16	2706
12	17	2699
13	18	2694
14	20	2700
15	21	2692
16	22	2682
17	24	2666
18	25	2656
19	26	2649
20	28	2643
21	29	2665
22	31	2688
23	33	2733
24	35	2786
25	37	2817
26	39	2861
27	41	2900
28	44	3041
29	47	3103
30	49	3120
31	51	3144
32	53	3189
33	55	3206
34	57	3201
35	58	3200
36	60	3214
37	62	3221
38	64	3228
39	66	3239
40	68	3265
41	70	3290
42	73	3335
43	75	3336
44	76	3333
45	78	3320
46	80	3325
47	82	3360
48	84	3366
49	86	3354
50	88	3371
51	90	3378
52	91	3371
53	93	3362
54	94	3355
55	96	3344
56	98	3347
57	99	3337
58	101	3325
59	102	3322
60	104	3322
61	106	3320
62	107	3313
63	109	3308
64	110	3299
65	112	3289
66	113	3285
67	115	3278
68	116	3273
69	118	3269
70	120	3270
71	121	3263
72	123	3260
73	125	3253
74	126	3246
75	127	3237
76	129	3227
77	130	3223
78	132	3219
79	134	3218
80	135	3215
81	137	3208
82	138	3202
83	140	3197
84	141	3193
85	143	3188
86	144	3187
87	146	3187
88	148	3185
89	150	3187
90	151	3182
91	153	3176
92	154	3169
93	156	3163
94	157	3157
95	159	3153
96	160	3149
97	162	3151
98	164	3150
99	165	3148
100	167	3144
101	168	3139
102	170	3134
103	171	3129
104	173	3133
105	175	3131
106	177	3134
107	179	3143
108	181	3149
109	183	3148
110	185	3148
111	186	3147
112	188	3145
113	190	3147
114	191	3145
115	193	3149
116	195	3148
117	197	3144
118	198	3140
119	200	3137
120	201	3134
121	203	3131
122	205	3128
123	206	3126
124	208	3125
125	210	3124
126	211	3121
127	213	3119
128	214	3115
129	216	3113
130	218	3117
131	220	3113
132	221	3113
133	223	3109
134	224	3105
135	226	3100
136	227	3098
137	229	3096
138	230	3091
139	232	3087
140	233	3081
141	235	3076
142	236	3076
143	238	3074
144	240	3070
145	241	3066
146	242	3061
147	244	3057
148	245	3052
149	247	3047
150	248	3044
151	250	3043
152	252	3042
153	253	3041
154	255	3039
155	256	3036
156	258	3033
157	259	3031
158	261	3028
159	263	3025
160	264	3024
161	266	3023
162	268	3022
163	269	3020
164	271	3017
165	272	3015
166	274	3015
167	276	3016
168	278	3016
169	281	3025
170	282	3026
171	285	3039
172	287	3038
173	289	3036
174	291	3035
175	292	3033
176	294	3029
177	296	3032
178	298	3035
179	299	3031
180	301	3028
181	303	3026
182	304	3025
183	306	3021
184	307	3017
185	308	3013
186	310	3014
187	312	3016
188	314	3014
189	316	3011
190	317	3009
191	319	3009
192	321	3006
193	322	3003
194	324	3000
195	326	3001
196	327	3001
197	329	2997
198	330	2994
199	332	2991
200	334	2989
201	335	2987
202	337	2986
203	338	2983
204	340	2984
205	342	2982
206	344	2980
207	345	2978
208	347	2974
209	348	2972
210	350	2970
211	351	2968
212	354	2970
213	355	2970
214	357	2969
215	359	2968
216	360	2965
217	362	2961
218	363	2958
219	365	2955
220	367	2954
221	369	2957
222	371	2964
223	375	2973
224	377	2975
225	379	2982
226	381	2981
227	385	2993
228	387	2996
229	389	2996
230	391	2995
231	392	2992
232	394	2990
233	396	2990
234	398	2993
235	400	2996
236	402	2995
237	404	2994
238	406	2992
239	407	2989
240	409	2987
241	410	2985
242	412	2985
243	414	2983
244	416	2981
245	417	2977
246	419	2976
247	420	2973
248	422	2970
249	424	2968
250	425	2966
251	427	2965
252	429	2964
253	431	2962
254	432	2961
255	434	2959
256	435	2956
257	437	2952
258	438	2949
259	440	2946
260	442	2947
261	444	2949
262	446	2946
263	447	2942
264	449	2939
265	450	2937
266	451	2933
267	453	2930
268	455	2927
269	457	2928
270	458	2928
271	460	2926
272	462	2924
273	463	2921
274	465	2918
275	466	2915
276	468	2912
277	469	2909
278	471	2910
279	473	2910
280	475	2909
281	477	2907
282	478	2906
283	480	2903
284	482	2901
285	483	2899
286	485	2898
287	487	2897
288	489	2896
289	490	2894
290	492	2891
291	493	2888
292	495	2886
293	497	2884
294	498	2881
295	500	2880
296	502	2878
297	503	2877
298	505	2875
299	506	2872
300	508	2870
301	510	2868
302	512	2867
303	513	2867
304	515	2864
305	518	2867
306	520	2870
307	522	2872
308	525	2878
309	527	2876
310	530	2879
311	532	2881
312	534	2880
313	536	2879
314	537	2877
315	539	2874
316	540	2871
317	542	2869
318	544	2867
319	545	2863
320	547	2863
321	549	2862
322	550	2860
323	552	2857
324	553	2855
325	555	2851
326	556	2849
327	558	2848
328	560	2847
329	562	2845
330	563	2843
331	565	2842
332	567	2840
333	569	2838
334	570	2837
335	572	2834
336	574	2832
337	575	2829
338	576	2826
339	578	2824
340	580	2822
341	581	2820
342	583	2821
343	586	2823
344	588	2821
345	589	2817
346	590	2814
347	592	2812
348	594	2810
349	595	2808
350	597	2805
351	599	2804
352	601	2804
353	602	2802
354	604	2799
355	605	2796
356	607	2793
357	608	2791
358	610	2789
359	611	2786
360	613	2786
361	615	2784
362	616	2782
363	618	2780
364	620	2777
365	621	2775
366	623	2773
367	624	2770
368	626	2769
369	628	2768
370	630	2767
371	632	2766
372	633	2764
373	635	2762
374	637	2760
375	638	2758
376	640	2757
377	642	2757
378	644	2756
379	646	2754
380	647	2751
381	649	2749
382	650	2747
383	652	2746
384	654	2744
385	655	2741
386	657	2741
387	659	2740
388	661	2738
389	663	2737
390	664	2735
391	666	2734
392	668	2733
393	670	2731
394	672	2733
395	674	2733
396	676	2732
397	678	2730
398	680	2729
399	681	2727
400	683	2726
401	685	2726
402	687	2725
403	689	2724
404	691	2723
405	693	2721
406	694	2719
407	696	2717
408	698	2715
409	699	2713
410	702	2715
411	704	2714
412	705	2712
413	707	2711
414	709	2709
415	711	2708
416	712	2706
417	714	2705
418	716	2703
419	718	2702
420	720	2700
421	721	2699
422	723	2697
423	725	2695
424	726	2694
425	728	2692
426	730	2691
427	732	2692
428	734	2690
429	736	2688
430	737	2686
431	739	2684
432	740	2681
433	742	2679
434	744	2679
435	746	2677
436	748	2677
437	750	2675
438	751	2673
439	753	2671
440	755	2670
441	757	2668
442	758	2666
443	760	2666
444	762	2665
445	764	2664
446	766	2662
447	768	2661
448	770	2660
449	772	2659
450	774	2658
451	776	2657
452	778	2656
453	779	2655
454	781	2653
455	783	2651
456	784	2649
457	786	2648
458	788	2645
459	790	2645
460	792	2644
461	794	2643
462	795	2641
463	797	2640
464	799	2638
465	801	2636
466	802	2634
467	804	2633
468	806	2632
469	808	2631
470	809	2629
471	811	2626
472	813	2624
473	814	2622
474	815	2619
475	817	2616
476	818	2614
477	820	2613
478	822	2611
479	823	2609
480	825	2607
481	827	2605
482	828	2602
483	830	2600
484	831	2597
485	832	2594
486	834	2592
487	836	2591
488	837	2588
489	839	2586
490	840	2584
491	842	2582
492	843	2579
493	845	2576
494	846	2574
495	847	2571
496	849	2568
497	850	2566
498	852	2563
499	853	2561
500	855	2558
501	856	2556
502	858	2553
503	859	2550
504	860	2548
505	862	2545
506	863	2543
507	865	2540
508	866	2538
509	867	2535
510	869	2533
511	871	2531
512	872	2529
513	874	2527
514	875	2525
515	877	2522
516	878	2520
517	880	2518
518	881	2516
519	883	2514
520	885	2512
521	886	2509
522	887	2507
523	889	2504
524	890	2502
525	892	2499
