Model Name,MAE,RMSE,WAPE (%),R2 Score
Boosting_custom_with_window,2.8406723917960304,6.9124155525259185,3.3921901080761407,0.9957596801949099
Boosting,2.930116304779351,7.055598108371473,3.4989995936493123,0.9955821943605438
RandomForest_mae_with_window,3.680229247856813,7.919854971726338,4.394747273950615,0.9944336130562733
RandomForest_custom_with_window,3.680229247856813,7.919854971726338,4.394747273950615,0.9944336130562733
LSTM_custom_with_window,3.8751448399246113,8.021845582928913,4.627505808596051,0.9942893238725259
LSTM_custom,3.922067144114501,9.990108775975052,4.683538097493838,0.9911431483783679
RandomForest,4.131137604425198,8.275882678451415,4.933199673888598,0.9939219035736969
LSTM_mae,4.235498072948763,9.210321765172374,5.0578217704113175,0.9924718452085864
Linear,4.280914429946164,12.81433003490218,5.1120557318481845,0.9854276113583708
LSTM_mae_with_window,4.441660911315094,9.199184803794353,5.304011208862193,0.9924900400299823
Polynomial (d=2),7.469673363372783,20.88415187004739,8.919913527153533,0.9612945054868052
MLP,8.545870145566903,16.630450272110192,10.205054358403741,0.9754559090857858
