Model Name,MAE,RMSE,WAPE (%),R2 Score
LSTM_mae_with_window,16.95504263716933,25.06736318220309,3.485208562912008,0.9828497145713664
RandomForest_custom_with_window,17.14272075724241,25.468089540866778,3.5237869024153246,0.9822970035603878
LSTM_custom_with_window,17.16487836076334,25.05708283953532,3.528341527913904,0.9828637786479492
RandomForest_mae_with_window,17.363394567520402,25.510870155930306,3.5691476997692186,0.9822374795698717
Boosting_custom_with_window,18.16955368389971,26.045257026939364,3.7348584393762887,0.9814855275817593
LSTM_custom,20.30120712934975,30.56579784124358,4.1730323207534274,0.974500860865311
LSTM_mae,21.026836274572027,30.92794197485489,4.322189651970226,0.9738930528733203
Linear,22.20219813169397,31.07436595125616,4.563792182652239,0.9736452683948246
RandomForest,26.551472577453005,36.96123847101394,5.45781108105263,0.9627138900854927
Boosting,29.297191420068334,40.30080760785979,6.022209710204613,0.9556716522266707
MLP,31.21889337796763,42.95645074207335,6.417226830618858,0.9496370886738171
Polynomial (d=2),33.79353387230801,43.82709075833016,6.946459300823557,0.9475748922036737
