TEC_N_Aver_pred;B1_N_Aver_pred;B1_Reconciled;B1_Delta;B2_N_Aver_pred;B2_Reconciled;B2_Delta;B3_N_Aver_pred;B3_Reconciled;B3_Delta;B4_N_Aver_pred;B4_Reconciled;B4_Delta;Sum_Check;Total_Error_Before;Total_Error_After
809.7521;229.0994415283203;225.76519775390625;-3.3342437744140625;0.0;0.0;0.0;201.1270751953125;197.79283142089844;-3.3342437744140625;389.5283;386.1940460205078;-3.3342437744140625;809.7520751953125;10.002731323242188;0.0
807.47034;228.6705780029297;224.7513885498047;-3.919189453125;0.0;0.0;0.0;200.36366271972656;196.44447326660156;-3.919189453125;390.19366;386.27447509765625;-3.919189453125;807.4703369140625;11.757568359375;0.0
808.962;228.9118194580078;224.76236979166669;-4.149449666341127;0.0;0.0;0.0;201.53469848632812;197.385248819987;-4.149449666341127;390.9638;386.81435648600257;-4.149449666341184;808.9619750976562;12.448348999023438;0.0
812.3852;229.557373046875;224.77999877929688;-4.777374267578125;0.0;0.0;0.0;204.28225708007812;199.5048828125;-4.777374267578125;392.8777;388.1003112792969;-4.777374267578125;812.3851928710938;14.332122802734375;0.0
802.57477;227.8491668701172;224.55016072591144;-3.299006144205748;0.0;0.0;0.0;196.82333374023438;193.52432759602863;-3.299006144205748;387.7993;384.5002797444662;-3.2990061442056913;802.5747680664062;9.897018432617188;0.0
796.05066;226.59158325195312;224.46377563476562;-2.1278076171875;0.0;0.0;0.0;191.70278930664062;189.57498168945312;-2.1278076171875;384.1397;382.01190185546875;-2.1278076171875;796.0506591796875;6.3834228515625;0.0
790.9065;225.73863220214844;224.35191345214844;-1.38671875;0.0;0.0;0.0;188.11485290527344;186.72813415527344;-1.38671875;381.21317;379.8264465332031;-1.38671875;790.906494140625;4.16015625;0.0
792.8733;226.1011505126953;224.32711791992188;-1.7740325927734375;0.0;0.0;0.0;189.46658325195312;187.6925506591797;-1.7740325927734375;382.62766;380.85362243652344;-1.7740325927734375;792.873291015625;5.3220977783203125;0.0
419.48746;205.10536193847656;214.77240753173828;9.667045593261719;0.0;0.0;0.0;195.04800415039062;204.71504974365234;9.667045593261719;5.6887727;0.0;-5.688772678375244;419.4874572753906;-13.645318508148193;0.0
421.11218;205.46578979492188;214.8243865966797;9.358596801757812;0.0;0.0;0.0;196.92919921875;206.2877960205078;9.358596801757812;5.9712834;0.0;-5.971283435821533;421.1121826171875;-12.745910167694092;0.0
418.8628;204.97959899902344;214.78658294677734;9.806983947753906;0.0;0.0;0.0;194.26922607421875;204.07621002197266;9.806983947753906;5.580582;0.0;-5.580582141876221;418.86279296875;-14.033385753631592;0.0
421.6382;205.6148681640625;214.70831298828125;9.09344482421875;0.0;0.0;0.0;197.83645629882812;206.92990112304688;9.09344482421875;6.0431943;0.0;-6.04319429397583;421.6382141113281;-12.14369535446167;0.0
428.96713;207.2152099609375;214.62433624267578;7.409126281738281;0.0;0.0;0.0;206.9336700439453;214.3427963256836;7.409126281738281;7.1938477;0.0;-7.19384765625;428.9671325683594;-7.6244049072265625;0.0
428.84503;207.18556213378906;214.61138153076172;7.425819396972656;0.0;0.0;0.0;206.80783081054688;214.23365020751953;7.425819396972656;7.1896853;0.0;-7.189685344696045;428.84503173828125;-7.661953449249268;0.0
427.89432;206.97808837890625;214.68519592285156;7.7071075439453125;0.0;0.0;0.0;205.50201416015625;213.20912170410156;7.7071075439453125;7.0161676;0.0;-7.016167640686035;427.8943176269531;-8.39804744720459;0.0
428.26102;207.05982971191406;216.57643127441406;9.5166015625;0.0;0.0;0.0;202.16798400878906;211.68458557128906;9.5166015625;3.8620315;0.0;-3.8620314598083496;428.2610168457031;-15.17117166519165;0.0
428.48627;207.131103515625;216.5480194091797;9.416915893554688;0.0;0.0;0.0;202.52133178710938;211.93824768066406;9.416915893554688;3.9312487;0.0;-3.931248664855957;428.48626708984375;-14.902583122253418;0.0
431.51236;207.7367706298828;216.4997100830078;8.762939453125;0.0;0.0;0.0;206.2497100830078;215.0126495361328;8.762939453125;4.438399;0.0;-4.438398838043213;431.5123596191406;-13.087480068206787;0.0
430.56738;207.55979919433594;216.42813110351562;8.868331909179688;0.0;0.0;0.0;205.2709197998047;214.13925170898438;8.868331909179688;4.3348417;0.0;-4.334841728210449;430.5673828125;-13.401822090148926;0.0
431.49155;207.7294158935547;216.50206756591797;8.772651672363281;0.0;0.0;0.0;206.21682739257812;214.9894790649414;8.772651672363281;4.4450345;0.0;-4.445034503936768;431.4915466308594;-13.100268840789795;0.0
421.81113;205.6455841064453;216.87972259521484;11.234138488769531;0.0;0.0;0.0;193.697265625;204.93140411376953;11.234138488769531;2.547925;0.0;-2.5479249954223633;421.8111267089844;-19.9203519821167;0.0
414.2472;203.8766326904297;217.20436096191406;13.327728271484375;0.0;0.0;0.0;183.71510314941406;197.04283142089844;13.327728271484375;1.0203435;0.0;-1.020343542098999;414.2471923828125;-25.63511300086975;0.0
415.5089;204.21995544433594;217.02001190185547;12.800056457519531;0.0;0.0;0.0;185.6888427734375;198.48889923095703;12.800056457519531;1.3026663;0.0;-1.3026663064956665;415.5089111328125;-24.297446608543396;0.0
411.12772;203.11224365234375;217.2051773071289;14.092933654785156;0.0;0.0;0.0;179.82960510253906;193.92253875732422;14.092933654785156;0.3965793;0.0;-0.3965792953968048;411.1277160644531;-27.789288014173508;0.0
765.0847;221.06207275390625;220.07347106933594;-0.9886016845703125;0.0;0.0;0.0;173.26441955566406;172.27581787109375;-0.9886016845703125;373.72403;372.7354278564453;-0.9886016845703125;765.084716796875;2.9658050537109375;0.0
584.9716;0.0;0.0;0.0;0.0;0.0;0.0;195.9752655029297;205.72150421142578;9.746238708496094;369.50388;379.25011444091797;9.746238708496094;584.9716186523438;-19.492477416992188;0.0
575.8717;0.0;0.0;0.0;0.0;0.0;0.0;189.99346923828125;201.62681579589844;11.633346557617188;362.61154;374.24488830566406;11.633346557617188;575.8717041015625;-23.266693115234375;0.0
601.0562;0.0;0.0;0.0;0.0;0.0;0.0;208.1011199951172;214.26586151123047;6.164741516113281;380.6256;386.7903518676758;6.164741516113281;601.0562133789062;-12.329483032226562;0.0
602.4071;0.0;0.0;0.0;0.0;0.0;0.0;209.2106170654297;215.05083465576172;5.840217590332031;381.51605;387.3562698364258;5.840217590332031;602.4071044921875;-11.680435180664062;0.0
600.37897;0.0;0.0;0.0;0.0;0.0;0.0;207.45994567871094;213.86089324951172;6.400947570800781;380.11713;386.51807403564453;6.400947570800781;600.3789672851562;-12.801895141601562;0.0
601.45654;0.0;0.0;0.0;0.0;0.0;0.0;208.4370880126953;214.47844696044922;6.041358947753906;380.93674;386.9780960083008;6.041358947753906;601.45654296875;-12.082717895507812;0.0
604.9537;0.0;0.0;0.0;0.0;0.0;0.0;211.48663330078125;216.65403747558594;5.1674041748046875;383.13223;388.2996368408203;5.1674041748046875;604.9536743164062;-10.334808349609375;0.0
608.8202;0.0;0.0;0.0;0.0;0.0;0.0;214.92897033691406;219.01219940185547;4.083229064941406;385.72476;389.80799102783203;4.083229064941406;608.8201904296875;-8.166458129882812;0.0
612.02716;0.0;0.0;0.0;0.0;0.0;0.0;217.68527221679688;220.94236755371094;3.2570953369140625;387.8277;391.0847930908203;3.2570953369140625;612.0271606445312;-6.514190673828125;0.0
612.7272;0.0;0.0;0.0;0.0;0.0;0.0;218.2949676513672;221.3874282836914;3.0924606323242188;388.24728;391.3397445678711;3.0924606323242188;612.7271728515625;-6.1849212646484375;0.0
603.97406;0.0;0.0;0.0;0.0;0.0;0.0;210.7744140625;216.02418518066406;5.2497711181640625;382.7001;387.9498748779297;5.2497711181640625;603.9740600585938;-10.499542236328125;0.0
602.2392;0.0;0.0;0.0;0.0;0.0;0.0;209.17453002929688;214.97531127929688;5.80078125;381.4631;387.2638854980469;5.80078125;602.2391967773438;-11.6015625;0.0
609.41895;0.0;0.0;0.0;0.0;0.0;0.0;215.31155395507812;219.32199096679688;4.01043701171875;386.08652;390.0969543457031;4.01043701171875;609.4189453125;-8.0208740234375;0.0
585.272;0.0;0.0;0.0;0.0;0.0;0.0;202.17588806152344;202.68456268310547;0.5086746215820312;382.07874;382.58740997314453;0.5086746215820312;585.27197265625;-1.0173492431640625;0.0
575.4902;0.0;0.0;0.0;0.0;0.0;0.0;193.67373657226562;196.73696899414062;3.063232421875;375.68997;378.7532043457031;3.063232421875;575.4901733398438;-6.12646484375;0.0
573.95953;0.0;0.0;0.0;0.0;0.0;0.0;192.35113525390625;195.80352783203125;3.452392578125;374.7036;378.156005859375;3.452392578125;573.9595336914062;-6.90478515625;0.0
577.9147;0.0;0.0;0.0;0.0;0.0;0.0;195.52200317382812;198.1306915283203;2.6086883544921875;377.1753;379.7839813232422;2.6086883544921875;577.9146728515625;-5.217376708984375;0.0
586.5471;0.0;0.0;0.0;0.0;0.0;0.0;203.15374755859375;203.50840759277344;0.3546600341796875;382.68405;383.03871154785156;0.3546600341796875;586.547119140625;-0.709320068359375;0.0
581.7327;0.0;0.0;0.0;0.0;0.0;0.0;199.12103271484375;200.5809783935547;1.4599456787109375;379.6918;381.15174865722656;1.4599456787109375;581.7327270507812;-2.919891357421875;0.0
588.38367;0.0;0.0;0.0;0.0;0.0;0.0;204.8197784423828;204.62238311767578;-0.19739532470703125;383.95868;383.7612838745117;-0.19739532470703125;588.3836669921875;0.3947906494140625;0.0
585.88354;0.0;0.0;0.0;0.0;0.0;0.0;202.7061767578125;203.07363891601562;0.367462158203125;382.44244;382.8099060058594;0.367462158203125;585.883544921875;-0.73492431640625;0.0
579.5972;0.0;0.0;0.0;0.0;0.0;0.0;197.39041137695312;199.26901245117188;1.87860107421875;378.44962;380.3282165527344;1.87860107421875;579.5972290039062;-3.7572021484375;0.0
581.32874;0.0;0.0;0.0;0.0;0.0;0.0;198.89544677734375;200.34524536132812;1.449798583984375;379.5337;380.9834899902344;1.449798583984375;581.3287353515625;-2.89959716796875;0.0
584.04144;0.0;0.0;0.0;0.0;0.0;0.0;201.0195770263672;201.90393829345703;0.8843612670898438;381.25314;382.1375045776367;0.8843612670898438;584.0414428710938;-1.7687225341796875;0.0
574.0654;0.0;0.0;0.0;0.0;0.0;0.0;192.5553436279297;195.8910903930664;3.3357467651367188;374.8386;378.1743392944336;3.3357467651367188;574.0654296875;-6.6714935302734375;0.0
571.67847;0.0;0.0;0.0;0.0;0.0;0.0;190.46449279785156;194.44464874267578;3.9801559448242188;373.25366;377.2338180541992;3.9801559448242188;571.678466796875;-7.9603118896484375;0.0
576.6201;0.0;0.0;0.0;0.0;0.0;0.0;194.67286682128906;197.3842544555664;2.7113876342773438;376.52448;379.2358627319336;2.7113876342773438;576.6201171875;-5.4227752685546875;0.0
569.92316;0.0;0.0;0.0;0.0;0.0;0.0;189.0460662841797;193.46985626220703;4.423789978027344;372.0295;376.4533004760742;4.423789978027344;569.9231567382812;-8.847579956054688;0.0
563.573;0.0;0.0;0.0;0.0;0.0;0.0;184.8665313720703;190.55500030517578;5.688468933105469;367.32953;373.0179977416992;5.688468933105469;563.572998046875;-11.376937866210938;0.0
571.22375;0.0;0.0;0.0;0.0;0.0;0.0;189.98887634277344;194.10184478759766;4.112968444824219;373.00894;377.12191009521484;4.112968444824219;571.2237548828125;-8.225936889648438;0.0
563.2495;0.0;0.0;0.0;0.0;0.0;0.0;184.58090209960938;190.36834716796875;5.787445068359375;367.09372;372.88116455078125;5.787445068359375;563.24951171875;-11.57489013671875;0.0
564.43756;0.0;0.0;0.0;0.0;0.0;0.0;185.44497680664062;190.955322265625;5.510345458984375;367.9719;373.48223876953125;5.510345458984375;564.4375610351562;-11.02069091796875;0.0
565.1848;0.0;0.0;0.0;0.0;0.0;0.0;186.0609130859375;191.3439483642578;5.2830352783203125;368.55783;373.8408660888672;5.2830352783203125;565.184814453125;-10.566070556640625;0.0
571.5047;0.0;0.0;0.0;0.0;0.0;0.0;190.2589569091797;194.27864837646484;4.019691467285156;373.20636;377.2260513305664;4.019691467285156;571.5046997070312;-8.039382934570312;0.0
566.7105;0.0;0.0;0.0;0.0;0.0;0.0;186.76719665527344;191.9418716430664;5.174674987792969;369.59396;374.76863861083984;5.174674987792969;566.7105102539062;-10.349349975585938;0.0
389.37137;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;362.63168;389.3713684082031;26.73968505859375;389.3713684082031;-26.73968505859375;0.0
397.81497;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;369.1821;397.8149719238281;28.63287353515625;397.8149719238281;-28.63287353515625;0.0
397.5967;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;368.92416;397.5967102050781;28.67254638671875;397.5967102050781;-28.67254638671875;0.0
402.73462;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;372.858;402.734619140625;29.876617431640625;402.734619140625;-29.876617431640625;0.0
391.45297;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;364.26096;391.4529724121094;27.1920166015625;391.4529724121094;-27.1920166015625;0.0
387.05582;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;360.89764;387.0558166503906;26.158172607421875;387.0558166503906;-26.158172607421875;0.0
381.07922;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;356.26343;381.0792236328125;24.8157958984375;381.0792236328125;-24.8157958984375;0.0
389.37137;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;362.63168;389.3713684082031;26.73968505859375;389.3713684082031;-26.73968505859375;0.0
393.20563;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;365.60452;393.20562744140625;27.601104736328125;393.20562744140625;-27.601104736328125;0.0
381.62064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;366.70984;381.6206359863281;14.910797119140625;381.6206359863281;-14.910797119140625;0.0
375.50537;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;362.05966;375.50537109375;13.445709228515625;375.50537109375;-13.445709228515625;0.0
376.38156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;362.77155;376.3815612792969;13.610015869140625;376.3815612792969;-13.610015869140625;0.0
375.84268;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;362.28534;375.8426818847656;13.557342529296875;375.8426818847656;-13.557342529296875;0.0
370.7764;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;358.39044;370.7763977050781;12.385955810546875;370.7763977050781;-12.385955810546875;0.0
372.95712;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;360.03854;372.9571228027344;12.9185791015625;372.9571228027344;-12.9185791015625;0.0
370.40506;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;357.97336;370.4050598144531;12.43170166015625;370.4050598144531;-12.43170166015625;0.0
373.56293;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;360.54202;373.56292724609375;13.020904541015625;373.56292724609375;-13.020904541015625;0.0
383.90808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;368.4198;383.9080810546875;15.48828125;383.9080810546875;-15.48828125;0.0
378.3237;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;364.1276;378.3236999511719;14.19610595703125;378.3236999511719;-14.19610595703125;0.0
376.8915;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;363.04013;376.8915100097656;13.85137939453125;376.8915100097656;-13.85137939453125;0.0
372.89764;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;360.01422;372.89764404296875;12.8834228515625;372.89764404296875;-12.8834228515625;0.0
371.97614;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;359.32962;371.97613525390625;12.646514892578125;371.97613525390625;-12.646514892578125;0.0
371.91266;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;359.26718;371.91265869140625;12.645477294921875;371.91265869140625;-12.645477294921875;0.0
368.93198;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;356.9654;368.9319763183594;11.966583251953125;368.9319763183594;-11.966583251953125;0.0
364.8957;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;353.95804;364.89569091796875;10.937652587890625;364.89569091796875;-10.937652587890625;0.0
371.60846;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;359.10623;371.60845947265625;12.502227783203125;371.60845947265625;-12.502227783203125;0.0
371.60846;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;359.10623;371.60845947265625;12.502227783203125;371.60845947265625;-12.502227783203125;0.0
378.87372;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;364.5346;378.87371826171875;14.339111328125;378.87371826171875;-14.339111328125;0.0
378.5691;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;364.34427;378.569091796875;14.224822998046875;378.569091796875;-14.224822998046875;0.0
377.3085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;363.45917;377.3085021972656;13.849334716796875;377.3085021972656;-13.849334716796875;0.0
378.19962;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;364.09058;378.1996154785156;14.109039306640625;378.1996154785156;-14.109039306640625;0.0
14.623226;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.35968685;0.35968685150146484;0.0;0.35968685150146484;-14.26353931427002;-14.26353931427002
14.78138;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.39332187;0.3933218717575073;0.0;0.3933218717575073;-14.388057827949524;-14.388057827949524
16.67346;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7708811;0.7708811163902283;0.0;0.7708811163902283;-15.902578890323639;-15.902578890323639
16.029642;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.64597195;0.645971953868866;0.0;0.645971953868866;-15.383670151233673;-15.383670151233673
13.013754;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.017708918;0.01770891807973385;0.0;0.01770891807973385;-12.996044972911477;-12.996044972911477
12.395556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.10456605;-0.1045660525560379;0.0;-0.1045660525560379;-12.500122502446175;-12.500122502446175
15.969312;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6329848;0.6329848170280457;0.0;0.6329848170280457;-15.336326897144318;-15.336326897144318
16.67346;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7708811;0.7708811163902283;0.0;0.7708811163902283;-15.902578890323639;-15.902578890323639
4.7096705;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7346106;1.7346105575561523;0.0;1.7346105575561523;-2.975059986114502;-2.975059986114502
3.1357822;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4177027;1.4177026748657227;0.0;1.4177026748657227;-1.7180795669555664;-1.7180795669555664
-1.3310933;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.52058256;0.5205825567245483;0.0;0.5205825567245483;1.8516758680343628;1.8516758680343628
5.2573133;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.838293;1.8382929563522339;0.0;1.8382929563522339;-3.4190202951431274;-3.4190202951431274
6.3334126;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0673406;2.067340612411499;0.0;2.067340612411499;-4.266072034835815;-4.266072034835815
7.1193404;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2151148;2.2151148319244385;0.0;2.2151148319244385;-4.904225587844849;-4.904225587844849
1.7740835;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1575485;1.1575485467910767;0.0;1.1575485467910767;-0.616534948348999;-0.616534948348999
2.7460537;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3486141;1.3486140966415405;0.0;1.3486140966415405;-1.3974395990371704;-1.3974395990371704
363.7958;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;359.21265;363.7958068847656;4.583160400390625;363.7958068847656;-4.583160400390625;0.0
370.9405;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;364.60492;370.94049072265625;6.3355712890625;370.94049072265625;-6.3355712890625;0.0
359.63968;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;356.02094;359.6396789550781;3.618743896484375;359.6396789550781;-3.618743896484375;0.0
342.491;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;343.0749;342.4909973144531;-0.583892822265625;342.4909973144531;0.583892822265625;0.0
