plant_id,model_name,method,forecast_stage,unit_id,MAE,RMSE,MAPE,OCV_min,OCV_max,OCV_total,OCV_min_severity,OCV_max_severity
TEC14,LSTM_custom,independent,raw,B1,5.603676567586075,10.893697994146889,4.391759192508846,0,0,0,0.0,0.0
TEC14,LSTM_custom,independent,raw,B2,4.4518013883143635,7.965808092350101,3.3689890849475055,0,0,0,0.0,0.0
TEC14,LSTM_custom,bottom_up,hierarchical_reconciled,B1,5.603676567586075,10.893697994146889,4.391759192508846,0,0,0,0.0,0.0
TEC14,LSTM_custom,bottom_up,hierarchical_reconciled,B2,4.4518013883143635,7.965808092350101,3.3689890849475055,0,0,0,0.0,0.0
TEC14,LSTM_custom,top_down,hierarchical_reconciled,B1,7.853985925877581,14.431054870384838,6.468443225888841,0,11,11,0.0,296.8934485794997
TEC14,LSTM_custom,top_down,hierarchical_reconciled,B2,7.415327859770688,12.74463222173291,6.046777883593623,0,16,16,0.0,363.5212857347219
TEC14,LSTM_custom,ols,hierarchical_reconciled,B1,5.8286711407857785,10.922016793803726,2364785060.8109035,30,48,78,11.065834045410668,80.11356353759672
TEC14,LSTM_custom,ols,hierarchical_reconciled,B2,4.689972817447678,7.992850110717231,582175382.5496399,52,25,77,15.076431274411188,7.693041483562611
TEC14,LSTM_custom,wls,hierarchical_reconciled,B1,5.828671140785784,10.922016793803731,2364785060.810919,30,48,78,11.065834045409694,80.11356353759834
TEC14,LSTM_custom,wls,hierarchical_reconciled,B2,4.689972817447684,7.992850110717233,582175382.5496603,52,25,77,15.076431274412615,7.693041483561929
TEC14,LSTM_custom,mint,hierarchical_reconciled,B1,5.755587035600565,10.893681852020695,1773591458.4011457,30,48,78,8.299387905783778,60.08526291318652
TEC14,LSTM_custom,mint,hierarchical_reconciled,B2,4.624112512614638,7.957013652600102,436632191.1952282,52,25,77,11.307340317211835,5.7697898130793375
TEC14,LSTM_mae,independent,raw,B1,5.561450603180207,10.605801502554414,1252580075.3406918,31,77,108,10.132898582567577,39.5564625011757
TEC14,LSTM_mae,independent,raw,B2,5.046995816098866,8.072615397991637,4629152843.147891,0,107,107,0.0,172.41530632972717
TEC14,LSTM_mae,bottom_up,hierarchical_reconciled,B1,5.561450603180207,10.605801502554414,1252580075.3406918,31,77,108,10.132898582567577,39.5564625011757
TEC14,LSTM_mae,bottom_up,hierarchical_reconciled,B2,5.046995816098866,8.072615397991637,4629152843.147891,0,107,107,0.0,172.41530632972717
TEC14,LSTM_mae,top_down,hierarchical_reconciled,B1,7.576955911533203,13.887685072308035,508406070.00519216,3,38,41,3.4569487239873324,301.2531514490005
TEC14,LSTM_mae,top_down,hierarchical_reconciled,B2,8.011218173187784,13.195694182445893,476876447.7232496,3,43,46,3.2386630993628587,396.6728007257241
TEC14,LSTM_mae,ols,hierarchical_reconciled,B1,5.982803858145529,10.789271771135837,3710869059.872207,53,55,108,44.73815821887378,99.33504902388017
TEC14,LSTM_mae,ols,hierarchical_reconciled,B2,5.038488848036499,8.066978357367955,2125401861.3823256,2,105,107,0.09042418003071546,80.07242949771593
TEC14,LSTM_mae,wls,hierarchical_reconciled,B1,5.982803858145529,10.789271771135843,3710869059.87219,53,55,108,44.73815821887223,99.33504902388114
TEC14,LSTM_mae,wls,hierarchical_reconciled,B2,5.038488848036502,8.066978357367962,2125401861.3822727,2,105,107,0.09042418003077095,80.07242949771388
TEC14,LSTM_mae,mint,hierarchical_reconciled,B1,5.834918941658918,10.706352416266052,2866604240.599217,49,59,108,31.82603360687158,80.12962121779213
TEC14,LSTM_mae,mint,hierarchical_reconciled,B2,5.008108066608225,8.018591950344513,2747680824.2242975,0,107,107,0.0,103.09022672546766
TEC14,Linear,independent,raw,B1,5.692765026629822,10.583286297344479,4.46956822609128,0,0,0,0.0,0.0
TEC14,Linear,independent,raw,B2,7.694418906209651,19.740258546794546,5.745589070947483,7,0,7,529.3508412370147,0.0
TEC14,Linear,bottom_up,hierarchical_reconciled,B1,5.692765026629822,10.583286297344479,4.46956822609128,0,0,0,0.0,0.0
TEC14,Linear,bottom_up,hierarchical_reconciled,B2,7.694418906209651,19.740258546794546,5.745589070947483,7,0,7,529.3508412370147,0.0
TEC14,Linear,top_down,hierarchical_reconciled,B1,7.141532668820687,13.809782914725668,5.839437262021752,0,11,11,0.0,228.66757891323022
TEC14,Linear,top_down,hierarchical_reconciled,B2,7.997672074274538,13.114054128703113,6.250009416664581,0,16,16,0.0,294.614822562557
TEC14,Linear,ols,hierarchical_reconciled,B1,6.335943877638455,12.079906479331534,9249860611.758072,47,32,79,45.298958712498326,307.7342279731068
TEC14,Linear,ols,hierarchical_reconciled,B2,7.613045959174187,14.541823126280553,6689402332.904063,27,57,84,240.01143219140934,223.63870875766565
TEC14,Linear,wls,hierarchical_reconciled,B1,6.335943877638451,12.079906479331534,9249860611.75805,47,32,79,45.298958712496784,307.7342279731077
TEC14,Linear,wls,hierarchical_reconciled,B2,7.6130459591741975,14.541823126280562,6689402332.904038,27,57,84,240.01143219141,223.63870875766418
TEC14,Linear,mint,hierarchical_reconciled,B1,6.094419432234071,11.35400463033302,6937405864.012935,47,31,78,33.974269867618986,224.78059421383452
TEC14,Linear,mint,hierarchical_reconciled,B2,7.610128826323808,15.731703869572753,5017059278.336118,27,57,84,312.3459589134173,167.72928326175816
TEC14,Polynomial (d=2),independent,raw,B1,5.362151071342651,10.271260149098358,4.150974322835337,0,0,0,0.0,0.0
TEC14,Polynomial (d=2),independent,raw,B2,7.949263824737746,19.786006542754908,5.892927187600757,7,0,7,529.3508412370147,0.0
TEC14,Polynomial (d=2),bottom_up,hierarchical_reconciled,B1,5.362151071342651,10.271260149098358,4.150974322835337,0,0,0,0.0,0.0
TEC14,Polynomial (d=2),bottom_up,hierarchical_reconciled,B2,7.949263824737746,19.786006542754908,5.892927187600757,7,0,7,529.3508412370147,0.0
TEC14,Polynomial (d=2),top_down,hierarchical_reconciled,B1,6.55328674305212,13.166428334458477,5.464790020522882,0,11,11,0.0,247.8025206475737
TEC14,Polynomial (d=2),top_down,hierarchical_reconciled,B2,8.530592037438904,13.372968463520388,6.5990933126906794,0,16,16,0.0,323.3216853812967
TEC14,Polynomial (d=2),ols,hierarchical_reconciled,B1,6.009182998670437,11.78653575287683,9044241035.739052,18,61,79,18.757262530955693,319.54515548264783
TEC14,Polynomial (d=2),ols,hierarchical_reconciled,B2,7.679699109515101,14.558459650833862,3703234246.627567,26,58,84,231.30396134671608,120.26126115652114
TEC14,Polynomial (d=2),wls,hierarchical_reconciled,B1,6.00918299867044,11.786535752876834,9044241035.739082,18,61,79,18.757262530955074,319.54515548264953
TEC14,Polynomial (d=2),wls,hierarchical_reconciled,B2,7.679699109515115,14.558459650833873,3703234246.62754,26,58,84,231.30396134671668,120.26126115651968
TEC14,Polynomial (d=2),mint,hierarchical_reconciled,B1,5.818529908712731,11.075670683889255,6783190954.801713,18,60,78,14.067967950311374,239.2734074689978
TEC14,Polynomial (d=2),mint,hierarchical_reconciled,B2,7.736998438023565,15.777731166443205,2777429854.387863,26,58,84,305.81534598618015,90.1960812648211
TEC14,Boosting,independent,raw,B1,4.752042976824127,9.816226044176924,3.7544183602906864,0,0,0,0.0,0.0
TEC14,Boosting,independent,raw,B2,5.73357379274049,8.819473211835556,4.137861331823908,0,0,0,0.0,0.0
TEC14,Boosting,bottom_up,hierarchical_reconciled,B1,4.752042976824127,9.816226044176924,3.7544183602906864,0,0,0,0.0,0.0
TEC14,Boosting,bottom_up,hierarchical_reconciled,B2,5.73357379274049,8.819473211835556,4.137861331823908,0,0,0,0.0,0.0
TEC14,Boosting,top_down,hierarchical_reconciled,B1,6.619199142047815,13.089373510270455,5.456729579668881,0,11,11,0.0,211.50002043815854
TEC14,Boosting,top_down,hierarchical_reconciled,B2,8.721967194680731,14.065864136770704,6.859541024531449,0,16,16,0.0,324.8359515908261
TEC14,Boosting,ols,hierarchical_reconciled,B1,5.1409766466775215,9.886020023935579,2593205220.9015965,19,59,78,31.87755739836629,66.4440666029206
TEC14,Boosting,ols,hierarchical_reconciled,B2,6.067669136389532,9.094840248848582,2296643264.392333,26,51,77,19.66260072439696,66.26182311400842
TEC14,Boosting,wls,hierarchical_reconciled,B1,5.140976646677523,9.886020023935579,2593205220.901634,19,59,78,31.87755739836572,66.44406660292256
TEC14,Boosting,wls,hierarchical_reconciled,B2,6.067669136389542,9.094840248848595,2296643264.392312,26,51,77,19.66260072439764,66.261823114007
TEC14,Boosting,mint,hierarchical_reconciled,B1,5.015052535351093,9.824392214396024,1944906836.9536638,19,59,78,23.908203863563834,49.83312486064865
